Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-22,HOOD,罗宾汉,Stock,27222944,Strong,Short,37.7%,XGB:0.51|LGB:0.47|LR:0.39|N:337|Base:0.34,Doji (十字星),85.2,99.16,88.43,4.74,97.91,52,4598
2026-04-22,META,元宇宙(Facebook),Stock,9144787,Strong,Short,34.8%,XGB:0.20|LGB:0.44|LR:0.26|N:337|Base:0.36,"Doji (十字星), Doji (十字星)",70.23,108.28,674.72,18.62,711.96,13,8771
2026-04-22,NVDA,英伟达,Stock,106421485,Strong + Div,Short,28.3%,XGB:0.10|LGB:0.35|LR:0.27|N:337|Base:0.30,"Bearish Engulfing (看跌吞没), Doji (十字星)",98.08,113.87,202.5,4.85,212.2,51,10327
2026-04-21,IWM,罗素2000指数ETF,Index ETF,31124914,Strong,Short,33.3%,XGB:0.32|LGB:0.45|LR:0.18|N:334|Base:0.33,"Doji (十字星), Bearish Engulfing (看跌吞没)",83.15,101.69,274.51,5.08,284.67,49,13450
2026-04-21,QQQ,纳斯达克100指数ETF,Index ETF,36460171,Strong,Short,25.4%,XGB:0.13|LGB:0.26|LR:0.20|N:336|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",91.21,115.36,644.33,9.98,664.29,25,16108
2026-04-21,SOXL,半导体3倍做多ETF,Index ETF,61717017,Strong + Div,Short,37.3%,XGB:0.43|LGB:0.62|LR:0.43|N:335|Base:0.32,Doji (十字星),97.93,112.26,98.09,5.8,109.69,43,4217
2026-04-21,SPY,标普500指数ETF,Index ETF,58281256,Strong,Short,15.2%,XGB:0.01|LGB:0.02|LR:0.11|N:336|Base:0.20,"Doji (十字星), Doji (十字星)",82.66,106.73,704.08,8.87,721.82,28,19714
2026-04-21,AMZN,亚马逊,Stock,42571853,Strong,Short,42.2%,XGB:0.32|LGB:0.44|LR:0.69|N:336|Base:0.36,"Doji (十字星), Doji (十字星), Doji (十字星)",79.18,108.75,249.91,6.51,262.93,38,9496
2026-04-21,COIN,Coinbase,Stock,14816351,Strong,Short,33.0%,XGB:0.34|LGB:0.17|LR:0.34|N:336|Base:0.35,"Hanging Man (吊颈线), Doji (十字星)",81.89,80.62,195.95,12.21,220.37,20,3919
2026-04-21,CRCL,,Stock,12371584,Strong,Short,32.2%,XGB:0.35|LGB:0.42|LR:0.29|N:186|Base:0.31,"Doji (十字星), Bearish Engulfing (看跌吞没)",64.24,47.41,96.02,8.65,113.32,28,2688
